Gene1,Gene2
AR,GTPBP6
ARID1A,S100A2
ARNT,ACOT6
ARNT,ACTR1B
ARNT,AJUBA
ARNT,ANAPC13
ARNT,ASB6
ARNT,ATP13A2
ARNT,C1QL4
ARNT,C7orf25
ARNT,CA12
ARNT,CACNB1
ARNT,CALCOCO1
ARNT,CDK2AP1
ARNT,CIB2
ARNT,CITED2
ARNT,CRABP2
ARNT,CRH
ARNT,CSRNP1
ARNT,CYP24A1
ARNT,DYRK1B
ARNT,EFEMP2
ARNT,EGFR-AS1
ARNT,FBXL14
ARNT,FGFBP3
ARNT,FGFR1
ARNT,FRMD3
ARNT,FZD5
ARNT,GADD45GIP1
ARNT,GCLC
ARNT,GTPBP6
ARNT,HM13-AS1
ARNT,HNRNPL
ARNT,IGSF11
ARNT,IRF2BP1
ARNT,JAG2
ARNT,JUN
ARNT,LINC00111
ARNT,LONP1
ARNT,LOX
ARNT,LRRC59
ARNT,LSM10
ARNT,LSS
ARNT,LTBP3
ARNT,LUM
ARNT,MAN2C1
ARNT,MBOAT4
ARNT,MGAT1
ARNT,MIR3193
ARNT,MTCH1
ARNT,MUC1
ARNT,NAMPT
ARNT,NCL
ARNT,NIPSNAP3B
ARNT,NME9
ARNT,NR1D1
ARNT,NR2F6
ARNT,NRN1
ARNT,NT5C
ARNT,NUDT18
ARNT,P2RY1
ARNT,P4HB
ARNT,PCDH9
ARNT,PDAP1
ARNT,PDIA6
ARNT,PIK3IP1
ARNT,PLD6
ARNT,PLEC
ARNT,POLM
ARNT,POLR2L
ARNT,PPP1R3C
ARNT,PSMG4
ARNT,PTGES2
ARNT,PTGR1
ARNT,PTHLH
ARNT,RABGGTA
ARNT,RIN1
ARNT,RNF113A
ARNT,RPL22
ARNT,RRBP1
ARNT,RUNX3
ARNT,S100A10
ARNT,SEMA5B
ARNT,SERTAD1
ARNT,SERTAD3
ARNT,SKIDA1
ARNT,SLC39A1
ARNT,SPRY2
ARNT,SRI
ARNT,ST3GAL1
ARNT,STC2
ARNT,STK25
ARNT,SURF4
ARNT,TBRG4
ARNT,TJP3
ARNT,TMEM185B
ARNT,TP53I3
ARNT,TRAM1
ARNT,TUBA1B
ARNT,UBC
ARNT,ZNF219
ARNT,ZNF296
ARNT,ZNF436
ARNT,ZXDA
ATF3,AKR1B1
ATF3,AKT1S1
ATF3,AMBP
ATF3,APBB3
ATF3,CDK20
ATF3,CITED2
ATF3,CLU
ATF3,CLUH
ATF3,COL7A1
ATF3,COX7A2
ATF3,CPS1
ATF3,CSRP1
ATF3,CYP24A1
ATF3,DAW1
ATF3,DEDD2
ATF3,DGAT1
ATF3,DLGAP1-AS4
ATF3,DMKN
ATF3,DNAJC19
ATF3,DYRK1B
ATF3,EEF2
ATF3,FAU
ATF3,G6PD
ATF3,GABARAP
ATF3,GCLC
ATF3,GTPBP6
ATF3,HJURP
ATF3,HMGCS1
ATF3,HNRNPH1
ATF3,HNRNPL
ATF3,IGSF11
ATF3,INPP4B
ATF3,LRRC59
ATF3,MIR3193
ATF3,MZF1
ATF3,NDUFA4L2
ATF3,OSCAR
ATF3,OSR1
ATF3,PCGF1
ATF3,PIGH
ATF3,PLEC
ATF3,POLR2I
ATF3,POLR2J
ATF3,PPP1R9B
ATF3,PSAP
ATF3,PSMC3IP
ATF3,PTHLH
ATF3,PTK6
ATF3,RABGGTA
ATF3,RGL2
ATF3,S100A10
ATF3,S100A3
ATF3,SAYSD1
ATF3,SEC61G
ATF3,SHF
ATF3,SLC45A4
ATF3,SPATA41
ATF3,ST6GALNAC1
ATF3,TAC4
ATF3,TBRG4
ATF3,TM4SF1
ATF3,TSR3
ATF3,UBC
ATF3,VPS28
ATF3,ZBTB17
ATOH8,ALDH3A1
ATOH8,ARHGDIA
ATOH8,DNLZ
ATOH8,DNM1P35
ATOH8,DYRK1B
ATOH8,EZR
ATOH8,GSR
ATOH8,OPLAH
ATOH8,P4HB
ATOH8,RPS16
ATOH8,S100A2
ATOH8,SNORD3D
ATOH8,SUMO3
ATOH8,TMEM17
ATOH8,TMEM185B
BCL3,AAMP
BCL3,ABCA11P
BCL3,ABCA2
BCL3,ABHD11
BCL3,ABHD17A
BCL3,ACAA2
BCL3,ACOT6
BCL3,ACSS1
BCL3,ACTB
BCL3,ACTG1
BCL3,ACTR1B
BCL3,ADAMTSL4-AS1
BCL3,AGA
BCL3,AGPAT1
BCL3,AHCY
BCL3,AHNAK
BCL3,AKR1B1
BCL3,AKT1S1
BCL3,ALDH3A1
BCL3,AMBP
BCL3,ANAPC13
BCL3,ANPEP
BCL3,AP1G2
BCL3,AP4B1
BCL3,APBB1
BCL3,APBB3
BCL3,ARFIP2
BCL3,ARHGAP31-AS1
BCL3,ARHGAP4
BCL3,ARHGDIA
BCL3,ARSA
BCL3,ASB6
BCL3,ASPM
BCL3,ATP13A1
BCL3,ATP13A2
BCL3,AURKAIP1
BCL3,AURKB
BCL3,B4GALNT1
BCL3,B9D2
BCL3,BAIAP2L2
BCL3,BCAP31
BCL3,BEGAIN
BCL3,BMS1P1
BCL3,BOLL
BCL3,BOP1
BCL3,BRAT1
BCL3,BRMS1
BCL3,C18orf32
BCL3,C19orf73
BCL3,C1QBP
BCL3,C1QL4
BCL3,C1QTNF1-AS1
BCL3,C1orf216
BCL3,C1orf74
BCL3,C20orf96
BCL3,C3
BCL3,C6orf62
BCL3,C7orf25
BCL3,CA12
BCL3,CALCOCO1
BCL3,CCDC102A
BCL3,CCDC74B
BCL3,CCNO
BCL3,CCT3
BCL3,CD2BP2
BCL3,CDK20
BCL3,CDK2AP1
BCL3,CDKN1C
BCL3,CFL1
BCL3,CHCHD2
BCL3,CHKA
BCL3,CIB1
BCL3,CIB2
BCL3,CITED2
BCL3,CITED4
BCL3,CKB
BCL3,CLDN7
BCL3,CLPTM1L
BCL3,CLU
BCL3,CLUH
BCL3,CNFN
BCL3,COL5A2
BCL3,COL7A1
BCL3,COX7A2
BCL3,CPS1
BCL3,CSRNP1
BCL3,CSRP1
BCL3,CST3
BCL3,CTRL
BCL3,CTSB
BCL3,CTSD
BCL3,CTSZ
BCL3,CYBA
BCL3,CYP24A1
BCL3,CYP26B1
BCL3,DAD1
BCL3,DAW1
BCL3,DBP
BCL3,DCTPP1
BCL3,DDT
BCL3,DEDD2
BCL3,DGAT1
BCL3,DGKQ
BCL3,DHCR24
BCL3,DHCR7
BCL3,DHRS1
BCL3,DHRS13
BCL3,DLGAP1-AS4
BCL3,DLX1
BCL3,DNAJB1
BCL3,DNAJC19
BCL3,DNAJC30
BCL3,DNLZ
BCL3,DOCK4
