Gene1,Gene2
SMAD3,JUN
PLAG1,PLAG1
YY1,NR3C1
IRF1,IRF1
GATA4,GATA4
TP53,JUN
JUN,TP53
TP53,TP53
DBP,JTB
GATA4,NPPA
MYC,ENO1
ENO1,MYC
USF1,USF1
MAZ,MAZ
TP53,S100A2
TP53,CHKA
USF1,FASN
TP53,ALOX15
GATA4,AR
AR,AR
SP1,SP1
TP53,NDN
JUND,JUND
MAX,TP53
MYC,TP53
TP53,MYC
TP53,RELA
RELA,TP53
TP53,PGAM2
JUN,JUN
CEBPB,SP1
MYC,ACTB
MAZ,MYC
WT1,WT1
FOSL1,CLU
JUNB,CLU
JUN,SFTPB
SP1,FN1
JUN,FN1
MYC,FN1
TP53,ACHE
SP1,E2F1
MGA,MGA
MYC,MYC
ARNT,CTSD
CREB1,JUN
SP1,HMGA2
PBX1,WNT16
MYC,ACHE
TP53,YY1
YY1,TP53
MYC,MAX
MAX,MYC
TP53,ETS1
ETS1,TP53
NR3C1,CRH
CEBPB,CEBPB
MYC,AR
AR,MYC
NR3C1,CPS1
SREBF1,FASN
TP53,TP63
TP63,TP53
MYC,NCL
ETS1,PTHLH
CTCF,MYC
BCL6,BCL6
RARB,RARB
RARB,ACTB
RELA,UCN
MYBL2,LOX
RELA,FN1
FOXA2,FOXA2
ETS1,CTSB
SP1,CTSB
PRDM1,MYC
PRDM1,YY1
YY1,MYC
RELA,RELA
SP1,RELA
RELA,SP1
SP1,LTA
SP1,ST6GALNAC4
CTCF,SIN3A
ATF3,ATF3
E2F1,E2F1
IRF1,ACHE
MYBL2,CLU
SP1,AR
AR,SP1
CEBPB,COL1A1
JUN,ACTB
SP1,KRT4
FOXM1,SFTPB
HOXA5,TP53
TP53,UBC
CEBPB,HSD11B1
SREBF1,SREBF1
HR,SLA
NR3C1,RELA
RELA,NR3C1
CREB1,CCK
NCOR2,SIN3A
CDX2,TAP1
JUN,ALOX12
SP1,ALOX12
FOXA2,EOMES
TBR1,EOMES
NR3C1,MYC
JUN,ATF3
ATF3,JUN
JUN,GCLC
TP53,HIF1A
HIF1A,TP53
JUN,NQO1
JUNB,NQO1
JUND,NQO1
NFE2L2,NQO1
NR3C1,NR3C1
TP53,UBR5
FOXA1,SFTPB
AR,ARHGDIA
SP1,ARHGDIA
USF1,USF2
USF2,USF1
HEY2,HEY2
TP53,SLC19A1
RELA,MYC
TP53,SP1
SP1,TP53
NFE2L2,GCLC
USF1,S100A6
GBX2,GBX2
TP53,PTHLH
NKX2-1,SFTPB
SP1,CTSD
NR3C1,AR
AR,NR3C1
HR,TP53
TP53,HR
TP53,AQP3
AR,ACHE
ARNT,ARNT
REST,NPPA
REST,CRH
IRF1,FGFR1
SP1,DHCR7
AR,SMAD3
SMAD3,AR
WT1,AR
CREB1,ACHE
SP1,MUC1
USF2,USF2
MYC,CHKA
NR3C1,JUN
JUN,NR3C1
SP1,KEL
SP1,COL1A1
SP1,COL5A2
HIF1A,HIF1A
SP1,FASN
CREB1,SFTPB
TP53,NKX3-1
NKX3-1,TP53
NR2F6,NPPA
BCL3,RELA
RELA,BCL3
PEG3,PEG3
SP1,MYC
SMAD3,PTHLH
SP1,SIN3A
TP53,AR
AR,TP53
JUN,AR
AR,JUN
YY1,COL1A1
SP1,IGFBP3
TP53,CHUK
NR5A2,NR5A2
GATA3,IL13
TP63,JAG2
NKX2-1,NKX2-1
SMAD3,MYC
TP53,MKI67
SP1,AGA
EPAS1,EPAS1
SP1,FGFR1
ARNT,SMARCA4
E2F1,MCL1
TP53,MCL1
TP53,CTSD
CREB1,CREB1
SP1,CREB1
SP1,UBC
FOXD3,FOXA1
FOXD3,FOXA2
FOSL1,FN1
FOXA2,WNT7B
NKX3-1,ACHE
NFE2L2,NFE2L2
SP1,SCARF1
CEBPB,SREBF1
SREBF1,CEBPB
ETS1,CYP24A1
CREB1,CRH
JUN,SLC10A1
MAFK,NQO1
TP53,NQO1
TP53,ATF3
ATF3,TP53
SMAD3,SFTPB
PRDM1,BCL6
BCL6,PRDM1
PRDM1,PRDM1
CEBPB,FGFR1
RELA,NOD2
SMAD3,FN1
RELA,MUC1
JUN,CEBPB
NFE2L2,SLC7A11
SP1,FLNA
SP1,GP6
RELA,CDX2
ELF1,SOD3
ESRRA,NR1D1
USF1,TFF1
YY1,MUC1
NR3C1,HSD11B1
HIF1A,NPPA
HIF1A,NAA10
HIF1A,EPAS1
EPAS1,HIF1A
CEBPB,GSTA2
USF1,TP53
SP1,ABCA2
BCL6,GATA3
GATA3,GATA3
TP53,E2F1
